race_id,hamilton,rosberg,ricciardo,bottas,vettel,alonso,massa,button,hulkenberg,perez,kevin_magnussen,raikkonen,vergne,grosjean,kvyat,maldonado,jules_bianchi,sutil,ericsson,gutierrez,chilton,kobayashi,stevens,lotterer
albert_park_2014,839.1054757925199,1229.0861634326627,773.9058076514115,1160.1495489492852,852.609255313252,1174.801762237335,822.4478249696917,1191.6826857595627,1137.6643901433772,1049.562664933449,1200.6001094773446,1105.7780066680054,1080.7943973031654,902.0205948781384,1058.16292448568,879.0528890737688,929.4487999154495,1017.7431522706702,856.8761150285483,992.766424817759,962.2257130592593,783.515293839665,,
sepang_2014,1158.0747886199513,1322.0410916277242,801.8516081760268,1165.7715577131512,1120.0144675954593,1242.4022379295795,1026.7593107253754,1200.7259434668536,1195.2065427367102,758.1822742075964,1150.6998461357396,1039.8382070679918,847.8818132815303,984.8407409576043,1070.3687512582374,716.0367372371667,768.2072074834842,857.0814831280911,894.57288916259,877.2278527204031,911.9494808697924,890.2651678989417,,
bahrain_2014,1313.6305957384322,1384.9647905398922,1073.678894888934,1162.1319939387095,1177.5957252715398,1176.302246927445,1114.319779569942,945.4921831886014,1237.7239957331853,1063.5881788870438,902.6902852159261,1065.672089068291,704.0294975136223,997.1885379624698,1056.454532342123,815.0434676671113,781.2425260841366,679.4473221756016,751.5238700128722,776.0704601002077,944.6043167057579,876.6047104681559,,
shanghai_2014,1408.7075876452902,1430.559446014487,1209.0694116775785,1188.5767592246368,1238.5612650479002,1277.2075334809074,977.7177693028083,994.3510064995614,1246.7102018219382,1091.8571279210087,927.116208756063,1114.7298415242287,844.9997865288378,750.6667942063982,1062.8258637087445,858.073300918425,766.3556056087313,569.3777437438032,664.0887704216755,796.2814230508405,789.3476099679104,792.8189429282264,,
catalunya_2014,1482.7929968762849,1472.3140154278492,1310.4515742355386,1253.2646513242616,1301.1012566005552,1276.8391524664157,963.1459211307841,1011.2633608399125,1156.1492546568936,1103.0346757294476,956.7229998517521,1167.1418116031678,650.9998916630927,948.6980033375986,976.2252526749371,853.745458984718,724.3208067314662,635.7035519491615,606.813591957424,792.9195852632763,705.8844417892386,650.4677449062254,,
monaco_2014,1518.4406019385308,1535.0464048895633,1378.3821528495644,985.4471598609937,914.0088511270469,1341.7912182677483,1099.0431098327952,1141.7286463977218,1239.8839750630116,804.1104824264871,1017.4911795357771,1065.6685247358907,677.3899232845404,1065.6880990822324,791.1386479046766,679.2324443654691,929.2198516511585,647.6424683535199,812.9259177809674,794.4056310477882,780.7180500341511,780.5966595703657,,
villeneuve_2014,1125.4980913636207,1560.201279631615,1473.2312208216151,1103.3647248212626,1144.2248316306798,1312.6972125000095,1040.2035783440929,1247.4062813101848,1276.2527122463964,915.2902285929246,1061.9914708148106,1060.7069846124327,906.4276456080476,930.8792518536771,782.1598769805975,649.5062922390917,693.7161241679114,788.7173817809303,697.3299682881587,837.8280374047656,652.6485401167425,739.7182648704329,,
red_bull_ring_2014,1285.4182527225626,1598.2879490577566,1343.7554628057665,1250.741489541463,811.9675992527693,1327.2077677445527,1196.6403762580167,1139.0172907506171,1207.282303260744,1086.9928215119544,1136.4772349462053,1069.6636022701698,726.9654099608592,912.5860663939384,630.6178198012827,819.5514026099087,765.1985503329415,861.8670223813751,671.9668267992745,717.9840085832067,680.7006253577263,759.1101176569078,,
silverstone_2014,1407.5507664619984,1129.6480121553036,1402.9956946287814,1367.2436851770394,1051.8436286505225,1310.7602111724011,840.8569805778127,1255.3239922390235,1197.162688623406,1060.815734499566,1185.763319570366,770.448068555416,908.1318845436803,955.5292036494571,871.7418494597321,762.5692598330343,825.8493153470046,898.3472967662473,641.5886402632399,639.7184574594792,722.0889199465917,794.0223904198963,,
hockenheimring_2014,1436.4193568242797,1307.9149122538358,1355.1115087527394,1429.30380391867,1198.5511177113458,1318.7163850922207,653.3091576670629,1220.104891715494,1214.2057913173933,1073.5352723032947,1160.2533466642585,902.4144292320806,920.8451024243116,721.78779718882,712.3780658543517,880.1884821797028,832.2076588839544,749.9993962073999,647.3265031562978,762.9261661282442,716.6333229797507,785.86753154449,,
hungaroring_2014,1458.9014583824087,1355.6115822769013,1454.6773458374248,1323.5415676231328,1215.0392579217478,1404.0673321119225,950.9303283804232,1145.0035458803134,868.9047331971211,834.4961030215496,1075.7223902329881,1079.0327882730066,1024.7383724944966,624.116644996384,801.8146336840335,909.152457735619,834.8104252097547,887.1622539028185,547.2376839638553,739.5035046956523,745.2840572406127,720.2515329378311,,
