race_id,hamilton,vettel,bottas,raikkonen,ricciardo,max_verstappen,perez,ocon,sainz,hulkenberg,massa,stroll,grosjean,kevin_magnussen,alonso,vandoorne,jolyon_palmer,wehrlein,kvyat,ericsson,gasly,giovinazzi,brendon_hartley,button,resta
albert_park_2017,1736.3101226927295,1591.6663137781263,1164.5287687145951,1290.7027472996963,1145.189488472717,1459.2341807760984,1332.8766534004353,1056.9725279398158,1108.3866659889063,1192.316642873907,1228.9804114213277,914.7580063484098,787.4661912095387,832.2032983185069,1062.5974724289865,1057.9054670002604,776.160379845669,,1030.1807142272505,821.6495127983683,,1030.9075195898727,,,
shanghai_2017,1764.5477417406864,1622.3649731863968,1258.9576644707556,1346.2161389632768,1282.683471931145,1496.3484837233484,1268.8596458259155,1104.9064235804988,1196.6033950777955,1121.3393872458776,1088.4147072895112,767.7323803063684,938.4413065040249,1022.2147207250867,949.1475972861393,893.8618935170414,880.7838870576732,,908.7957548821978,855.3278256783087,,853.4456861331687,,,
bahrain_2017,1762.667837794035,1676.7049093099006,1376.6338216127042,1405.6032819782126,1342.2083125117929,1104.0254249203201,1290.7021704284562,1130.8330930116085,1006.6869276524786,1165.9692191338918,1217.4392890489119,761.3306772335616,1088.1019358972349,856.6027833860184,940.8802181045452,767.6351456825455,935.538135538286,1002.3323063606224,974.7755619542195,858.3625292475807,,,,,
sochi_2017,1703.3506081157793,1693.3753896584597,1498.2505617815373,1468.2650427573112,1059.5498839948013,1248.1373788515843,1328.5573051713166,1214.789699962961,1078.9804872887821,1206.5252880380317,1208.2131286580309,916.7654544574588,875.2898122038016,918.0214937102771,779.1520808950974,843.7518340805362,828.6008227855318,913.0664646503058,1014.8777260431546,867.5131177021684,,,,,
catalunya_2017,1744.3942133683083,1708.2153182559775,1129.8944744360876,1051.284334576713,1274.5806168649156,966.8819154731825,1410.0064181731805,1318.078324519853,1195.6227915555478,1284.0504775135832,1087.7614754337542,872.8374617191334,1007.887546470009,924.8566817357572,896.4414656947254,787.9696367124077,851.5229225048258,1084.1486881426174,1101.0000223485742,967.5987953077724,,,,,
monaco_2017,1601.5591889233426,1745.3298116095302,1280.0680733692316,1272.6578217356964,1374.7104201136756,1162.5719831047347,1201.1816742655858,1178.8535319233956,1265.8958492084337,949.7636054242557,1151.1402905333177,894.9934902721011,1131.6284226209063,1037.1914040537454,,812.5768296876624,967.0035861296158,876.0482322910453,1030.2415782686985,887.1614986865676,,,,784.9016105859266,
villeneuve_2017,1655.0416167324445,1683.049618267787,1408.8631419132423,1291.9063414932439,1442.4201883668945,938.9949031132337,1299.3717393149275,1261.9223474494358,945.9804501238319,1108.7454693551686,918.9141008410475,1059.5962594272862,1150.2213061117207,1049.6272283967091,864.7872953209325,875.6678646871611,1039.2760369223386,877.5111868849144,900.5402163172827,944.5814468766647,,,,,
baku_2017,1586.0027583184888,1634.865836800002,1495.1845257164625,1105.3284204743204,1544.3520957616074,853.1817037268764,1094.3722063824844,1316.3180689803958,1098.0254078042067,960.0491147498301,889.5707104059378,1263.4049252215812,1060.730805440151,1175.415196385139,1029.3521489100103,942.5886929886634,846.3382625713667,1008.1379377101675,802.8535155143398,1010.9464240542367,,,,,
red_bull_ring_2017,1567.9477091183464,1658.5287639979001,1581.820267192023,1245.9364382771053,1560.9341079818116,736.5545319446373,1192.6439209749406,1289.4258714403825,936.0098857424721,984.481544319345,1045.5150508519614,1210.8801340333698,1193.4574366812565,946.3459477648785,856.8759783067068,1000.9749937032883,974.2295507284197,978.5712771282074,805.8879807415535,949.9973669876625,,,,,
silverstone_2017,1639.4180453237504,1538.0394206486876,1624.1844181402842,1370.7236652361105,1523.683324337233,1056.8654547559433,1199.1951064296536,1273.516707303047,805.0714723328182,1148.4220609615418,1097.6505671314965,1014.9797774172101,1098.5225730994202,1000.2123333654733,786.7571584581243,1054.7871151997365,802.6858480653536,884.2478352536934,843.8995065019316,954.1563679547583,,,,,
