race_id,hamilton,bottas,max_verstappen,perez,ricciardo,sainz,albon,leclerc,norris,gasly,stroll,ocon,vettel,kvyat,hulkenberg,raikkonen,giovinazzi,russell,grosjean,kevin_magnussen,latifi,aitken,pietro_fittipaldi
Austrian Grand Prix_2020,1611.5619138096433,1481.0148754999466,1114.143701760656,1350.8787138226012,983.1071669913496,1370.6378874683048,1179.7634891266562,1465.4043901971022,1390.2841991884382,1201.3534043690101,771.5076579122866,1157.8807472558078,1186.77820036845,1138.2801555489204,,1071.3397796990973,1153.3165296794286,915.1915209548955,920.626374388636,918.988654055964,1077.832840968717,,
Styrian Grand Prix_2020,1665.102608400574,1549.7975246703868,1316.4387062462579,1372.7690193364137,1140.6699234180396,1311.7101921435496,1320.6508231306136,1079.9475369557642,1416.4986318219146,1071.2393937364827,1048.545687373161,964.1470290284836,941.5487950826526,1185.6263772948212,,1125.1955578863551,1075.1762367921194,910.8614475539744,989.7668163868163,1016.3622812221279,957.8376145854021,,
Hungarian Grand Prix_2020,1706.4729839868694,1570.0838672703217,1443.570683727613,1353.2103738337578,1214.2835212157884,1277.9775471867213,1372.222949611326,1112.3363331611831,1226.6431032794158,882.6839145691154,1255.2670386441519,992.2512138598036,1149.8953422569912,1137.3492882833125,,1041.269394955295,963.4163378438188,851.9627718718192,952.3736116090068,1110.612723461311,846.0092024382895,,
British Grand Prix_2020,1740.005521894099,1366.7153662781645,1524.4632708618108,,1339.0779693698983,1166.117540639871,1330.0635900822392,1304.210456541639,1319.6386064925728,1092.5584710541823,1234.5699468904158,1166.7005571967868,1155.2486829585112,947.6602007061284,866.7951255188141,938.1544279488733,988.356618086148,970.6889639867435,915.8074206166258,917.4456618211304,891.7521280206479,,
70th Anniversary Grand Prix_2020,1738.5796682350306,1451.869619290567,1599.2341937546246,,1164.6766453244259,1105.5450394276822,1386.5138060960244,1393.4996135919698,1271.2285511830244,1110.1167558778927,1306.1902551106887,1213.865539713978,1113.7340556591023,1053.9362221423064,1073.1068875755277,935.3148283127799,905.5132375096916,870.6540465440876,897.9861829043004,781.9430349819568,802.5223437296416,,
Spanish Grand Prix_2020,1773.048122961707,1516.4405825657427,1638.71836318781,1402.521732190074,1159.170534580279,1241.5101413257485,1342.7600875355465,1017.5247658702118,1241.7035263651258,1180.721319879425,1403.5342939265013,1137.8345773774568,1226.2429431189933,1078.8362395365084,,962.562710534307,886.7505615729904,839.0170915520827,795.3587600141802,843.4709646452603,768.4066944835821,,
Belgian Grand Prix_2020,1804.926412745233,1585.7798181597398,1645.3891855825268,1308.6294922818659,1321.6462585359122,945.9234151227131,1377.7117448497802,1009.6008379558659,1297.5073828081809,1238.821700420848,1333.686087263163,1285.9550173902178,1133.7817568311718,1113.910650728559,,1020.4836989948387,810.1900808153687,756.8514869515772,849.92498442076,815.5102213854976,799.903779979712,,
Italian Grand Prix_2020,1655.377320394333,1550.1592205264635,1251.8459155213284,1268.9292819285458,1373.6286935284704,1244.804834198229,1155.7779455045638,901.4030289963978,1400.4356033357979,1440.721461787618,1440.7734469537295,1301.858001340236,912.3224509757028,1187.9187508194889,,1027.2755479141267,830.0760408352891,845.0921999850868,955.7238670879955,756.9645808318479,955.0458207582798,,
Tuscan Grand Prix_2020,1705.96457151713,1605.6508022011212,984.5257142436961,1369.8427104530886,1446.320605323547,1001.951272820513,1348.195269241971,1092.2090997372154,1407.6565742334187,1053.1492738143675,1240.7411686993698,1151.7245741925362,1063.1679573450026,1279.6473538842533,,1144.4557325870096,815.1398067648717,990.6488915155117,1019.1626261690361,795.2662262520231,940.7137822278485,,
Russian Grand Prix_2020,1690.1944059277566,1667.2391211732095,1260.5969794192,1432.9547372388313,1454.446344466399,858.62812919534,1273.8317476781494,1240.233119810358,1165.1905910577036,1149.274139487285,958.6327409877317,1253.9272931340274,1055.7728923787222,1289.740183742437,,1068.6545577867587,977.3230079391556,880.6481058958815,927.4209347664604,937.0139508486516,914.4110302894736,,
Eifel Grand Prix_2020,1733.5471708763575,1202.1050037040482,1426.0501324477789,1480.2562092009218,1516.2240220466451,1138.941371821912,1042.1754626505478,1299.4797556832602,1016.2108005787239,1276.995675867437,,1019.0182067255946,1107.1521691730595,1102.567273279406,1202.2560548511772,1090.0841799071854,1093.995373558033,791.6344529857967,1095.7932767445354,990.2738076754275,945.8477600334801,,
Portuguese Grand Prix_2020,1763.197430826414,1374.2347487104932,1484.649244896927,1415.5376848549283,1388.4889746768604,1254.3930188519814,1074.615697492155,1386.5380499064192,1037.9820300597887,1346.275749584392,811.5044873999676,1148.330619120605,1147.2890253096916,905.6690232960856,,1116.9961259331176,1023.216897927819,885.0684504730818,962.5052447064425,942.1588104372962,858.333531483415,,
Emilia Romagna Grand Prix_2020,1789.9641706869663,1484.8389127227208,1145.9616646224083,1410.8230381194862,1473.294717878784,1297.5022048877195,998.2517458356397,1414.7673220224367,1162.8570385044782,1005.5949368875779,915.3692911333262,943.8633115195572,1117.2325694116828,1181.471954498775,,1181.8274160287567,1105.8331160088946,877.6152060884987,967.4431493462074,861.8561524028114,990.6169273411537,,
Turkish Grand Prix_2020,1812.9436275030948,1250.9699583243278,1259.9777214872934,1506.0471501042957,1340.7176746629139,1360.6438472155985,1160.588239002383,1450.0965612276752,1219.9128677443393,1027.5899592899275,1067.3362135243285,1036.8783902997893,1295.851565540169,1124.6453274316161,,1061.659878920105,881.0074316837475,886.2467240378551,876.2894129091262,847.8188490949511,859.7634459443442,,
Bahrain Grand Prix_2020,1832.9775626506048,1273.3874606805812,1413.6188803085988,1126.3170440180354,1344.2826413260225,1403.080452940171,1339.4615396901015,1329.3679670253116,1346.8220205465525,1196.7334911776782,897.9839364081074,1141.9138588495089,1164.7592840634,1141.5336617769906,,997.151447420543,875.7001842638672,987.3711985180104,768.5053983047544,827.3475336952231,918.6692822838194,,
Abu Dhabi Grand Prix_2020,1791.8666912464507,1425.3797384656266,1527.4192966736794,905.2486813850712,1354.0631833848217,1407.4525446852444,1421.0814294293891,1191.8945432749888,1401.7524540692332,1253.956123132233,1046.6906509660162,1195.0175726634036,1083.7579690922776,1146.3971256541686,,1044.4738698670049,877.4623576707396,965.9042215237591,,787.8748666950925,872.7300869115593,,858.0560408523678
