race_id,max_verstappen,leclerc,perez,russell,sainz,hamilton,norris,ocon,alonso,bottas,ricciardo,vettel,kevin_magnussen,gasly,stroll,mick_schumacher,tsunoda,zhou,albon,latifi,de_vries,hulkenberg
Bahrain Grand Prix_2022,1276.3064441937213,1470.8083645137938,938.2625086917551,1120.1736964262543,1540.1113367881262,1733.515171755128,1116.3437420111006,1345.1581272515184,1252.6933151278026,1366.5660196327658,1081.814661995649,,1224.229202782262,1036.667857019837,1102.8610073479701,975.4467509480776,1257.4688450910025,1105.4122776645859,1022.5175143760778,891.668498263477,,919.7694211438705
Saudi Arabian Grand Prix_2022,1451.4747678375184,1546.0550123673193,1208.4225863204135,1277.161672613751,1558.2974211652402,1505.5447354344622,1235.1512356962523,1372.1282568203367,1070.359632809476,1149.630029289535,981.1590780280995,,1250.0221501077392,1180.3018837946458,1082.218883053255,842.4178946007061,1009.733636413946,1153.6550008608351,1023.8944321305981,855.8293911772165,,1024.337062503429
Australian Grand Prix_2022,1112.4730085784208,1626.5124294348277,1401.3258136603536,1414.04091047628,1120.25672914536,1526.3967153218332,1356.4128803300553,1375.3345223858414,962.8175853443014,1248.194197151758,1202.0917291204255,928.6067685270433,1125.773035628515,1237.8121605738172,1102.9786657083216,950.4039153656116,986.9641748014503,1162.894288221161,1129.9433178824024,868.6535534663709,,
Emilia Romagna Grand Prix_2022,1362.4977761448301,1543.9094603525555,1502.6155649514583,1460.849567171901,917.1435169642285,1286.4389473609954,1458.7013040804384,1193.8903857866453,868.0522541683094,1362.2548462192738,1010.3575520234923,1133.1905700396494,1204.6369283699314,1173.2923353230376,1168.1465076758648,906.480438306768,1183.3306848081195,1069.7029892546698,1149.1790577954023,885.2157143265806,,
Miami Grand Prix_2022,1505.8512510587223,1594.502735878124,1519.5347105446292,1471.538686531216,1217.4866990272785,1346.7797632788595,1096.1963836199986,1263.7879289811501,1016.3213256948472,1363.9577308509477,1037.634523012694,992.146929493626,1052.4454536474232,995.2677368622551,1199.4604620742466,935.2868137728124,1156.3076566966995,900.5393832705752,1222.19973557209,952.6404912559553,,
Spanish Grand Prix_2022,1596.9537165356458,1140.4336299514282,1587.009872315012,1531.3705618209951,1364.2568300742093,1408.977557466308,1214.4842253828162,1314.348905197768,1148.360085020175,1387.0366803536285,1080.9840775055911,1078.1344494603138,951.2757180664311,1034.6162915834557,1079.451188860523,977.6016850671637,1186.609520862295,813.1537143582065,1008.4047716186677,936.4229196235166,,
Monaco Grand Prix_2022,1610.7656179187338,1316.7144065103753,1651.847354170569,1516.3652890718854,1478.3585615196203,1368.1332364189561,1309.8262021243854,1217.7105738965536,1251.909737476845,1330.2357933026249,1082.1511653322523,1147.3188723740864,813.9142650499791,1101.1538118871654,1054.5892446420141,854.2779855875687,1022.6836463022113,849.8335659542488,905.7207117701514,956.3763598139253,,
Azerbaijan Grand Prix_2022,1678.055168963563,1017.995469171094,1682.9052092503025,1565.4139281230296,1082.0914270486555,1457.792557535969,1293.5627366386764,1227.1692326364353,1311.8238240033713,1259.2069011049414,1200.0965443048594,1279.000878017666,813.725372869102,1277.5733271018073,970.792687383386,922.1756931391625,1041.2380999877619,805.9605806505828,1007.4806031802408,945.8261600135445,,
Canadian Grand Prix_2022,1730.2380206637322,1229.2657203850165,1188.5110910740577,1571.9622773875265,1328.9867195682737,1520.4835000452392,1124.4669403775133,1327.3853599711438,1291.285228226821,1317.887013148638,1181.2622721465577,1195.7238386714907,820.5264641645173,1140.9513691722887,1093.8154402753473,833.2933319366128,929.4329815336343,1050.0124154977693,1037.0304611336055,927.3659557443658,,
British Grand Prix_2022,1599.0217245480228,1367.347148348726,1382.2277457473028,1184.3918875741117,1487.640451106351,1555.5109079515312,1267.4102651840124,1135.5974453091799,1377.2060930995362,1087.1183613300723,1126.1840804375545,1241.8037270958027,1015.1903392990725,1029.5134819296602,1136.6506269440938,1067.1949686436435,963.1826665288719,914.3611999682038,881.3875313385703,1020.9457487398328,,
